nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
768.72,105.66,778.57,95.5,756.13,92.59,786.59,106.3,727.33,99.93,819.88,181.29,688.0,178.55,850.06,274.77,652.78,272.35,793.5,284.57,711.19,293.68,789.02,387.15,709.23,381.17,785.35,535.64,709.73,516.07,781.66,663.89,702.13,659.3
767.68,105.73,777.7,95.36,755.13,92.34,786.85,106.69,727.2,100.31,819.7,181.07,688.27,178.53,851.27,274.52,652.71,272.0,793.65,284.64,711.19,293.65,788.21,386.33,708.32,381.24,785.29,535.52,709.85,516.06,781.47,664.21,702.23,659.66
766.54,105.44,776.46,95.18,754.29,92.21,786.49,108.18,727.35,100.99,820.79,180.68,688.69,178.3,851.2,274.47,653.31,271.57,793.59,283.92,711.49,293.48,788.57,386.86,707.74,380.92,785.95,535.78,710.3,515.69,781.29,664.19,701.79,661.03
765.09,105.17,775.2,94.69,753.09,91.59,786.33,108.36,726.94,101.47,821.02,180.82,688.53,178.24,850.86,274.74,655.0,272.84,793.75,283.64,712.66,293.34,788.37,387.84,707.4,381.75,785.99,536.22,710.28,515.91,781.29,664.1,701.83,660.74
763.8,105.57,774.02,94.61,751.6,91.86,786.4,108.09,726.78,102.23,821.39,181.41,689.22,178.72,849.89,275.36,655.97,273.62,793.57,283.93,713.32,293.52,788.65,387.87,710.3,384.28,785.67,537.05,710.13,516.12,781.94,664.59,701.93,661.09
762.46,105.92,773.2,94.89,750.08,91.89,786.45,108.34,726.71,102.6,822.22,181.65,689.27,178.82,848.25,275.06,657.01,273.43,792.07,284.12,712.87,293.35,788.76,386.79,710.06,384.03,785.46,536.84,710.16,516.3,781.56,664.11,701.96,660.84
761.16,105.49,772.03,94.58,749.12,91.67,786.74,107.8,726.77,102.9,821.6,183.56,689.45,179.07,847.51,275.49,657.62,273.52,792.04,284.37,712.49,293.55,789.15,387.35,709.98,380.84,786.51,537.66,710.1,517.03,781.88,663.7,701.2,661.39
760.06,105.01,771.4,93.97,748.04,91.55,787.08,107.19,727.04,103.46,821.94,183.54,689.37,178.53,847.99,276.18,657.66,273.15,793.09,284.5,711.97,293.5,789.1,388.2,709.89,381.2,786.91,537.7,709.81,517.28,781.76,663.62,700.99,661.59
759.33,104.83,771.09,93.69,747.63,91.28,787.24,106.7,726.95,103.08,822.07,183.41,689.77,178.46,848.6,275.41,657.45,273.34,791.93,284.37,712.18,293.55,788.82,387.93,709.42,381.01,786.83,537.81,710.12,516.86,781.17,664.09,701.15,661.59
757.83,104.59,770.0,93.16,746.66,91.28,787.08,106.67,727.22,103.44,822.28,183.26,689.4,177.95,850.61,276.31,657.06,273.03,793.33,284.34,712.36,293.41,788.97,389.02,708.8,381.21,786.49,536.89,710.56,516.87,780.87,663.82,701.97,659.75
755.86,104.01,768.23,92.43,744.38,91.48,786.99,105.22,727.01,103.11,822.79,182.76,690.62,177.55,851.44,275.6,656.38,272.11,793.48,283.98,712.69,292.74,788.99,389.48,709.65,381.32,786.43,537.15,710.35,517.6,781.16,663.26,701.21,660.85
751.45,104.65,763.76,92.16,740.86,92.67,786.31,103.55,726.78,104.93,823.48,183.06,690.46,177.2,852.53,275.67,656.39,271.6,793.8,283.6,713.29,292.41,788.6,389.24,708.04,379.79,786.52,536.73,710.42,516.93,780.84,663.79,701.27,660.81
743.1,104.66,755.75,91.86,734.36,94.05,785.22,100.75,725.98,106.41,824.5,182.53,691.74,176.31,853.23,276.57,656.68,269.95,793.73,283.13,711.56,291.2,788.55,389.49,706.55,377.4,786.52,536.83,710.48,517.49,780.71,663.39,701.6,659.9
683.37,111.88,693.98,97.26,673.49,102.6,723.1,96.04,667.23,110.02,776.86,176.97,645.48,178.83,805.59,267.59,637.03,270.5,794.94,271.63,617.91,279.41,747.19,373.76,668.54,380.54,760.73,518.51,689.53,519.12,777.99,657.47,698.76,660.37
687.73,111.03,698.4,96.3,676.03,101.19,723.07,97.96,665.84,111.73,775.9,175.31,643.23,178.61,792.07,259.85,628.59,271.52,805.58,263.08,597.34,274.95,750.19,372.19,669.34,383.86,759.9,525.88,687.14,519.04,779.47,658.83,698.79,660.82
689.25,110.81,700.38,96.29,677.4,99.78,723.24,98.61,664.88,110.37,773.48,173.96,642.19,178.77,790.39,257.82,625.79,271.67,803.93,261.75,591.02,273.06,748.4,369.78,667.5,383.29,759.04,526.31,687.21,519.28,779.5,659.55,698.97,660.9
690.66,110.18,701.78,96.02,678.62,98.88,723.81,99.42,664.03,109.69,772.57,173.04,639.41,179.62,791.66,261.29,625.82,272.97,809.99,261.22,584.69,272.58,746.53,371.82,666.87,381.73,760.28,525.11,686.83,518.94,778.99,658.0,698.84,661.47
692.15,109.64,703.39,96.1,679.66,98.45,724.05,99.84,663.28,108.2,772.37,172.64,638.51,180.07,791.9,261.51,622.91,272.26,813.48,258.11,581.22,272.63,747.13,371.79,667.73,382.12,759.15,524.46,686.6,518.64,778.16,658.82,698.83,660.14
693.61,109.39,705.0,96.26,680.98,98.14,724.03,100.8,664.01,107.93,771.78,173.33,637.9,180.66,790.44,264.21,622.94,272.26,814.59,254.9,578.24,271.96,748.52,375.83,668.11,383.89,760.34,522.74,686.71,519.41,778.33,659.09,699.11,661.59
695.17,108.95,705.89,96.09,681.93,98.07,724.16,101.01,664.13,107.92,771.25,173.64,636.92,181.71,790.23,265.83,622.29,273.66,816.17,253.31,576.34,271.62,750.28,381.95,666.87,382.39,760.62,523.68,686.76,520.03,778.6,658.86,699.11,661.63
